subj_id,ldi_comp,ldi_iso,ldi_nov,rt_lure_comp,rt_lure_iso,rt_lure_nov,gaze_bb_comp,gaze_bb_iso,gaze_ba_comp,gaze_ba_iso
618,0.65,0.35,0.65,0.784955291500069,0.821354249499905,0.762907999999925,0.0697338101084545,0.047528657334973,0.0340497697886489,-0.00902523525069363
619,0.475,0.498684210526316,0.625,0.831130374999702,0.893098750000718,0.839174750000893,-0.0139094421512221,-0.0510457656958738,-0.0599731891862026,-0.0242232316619624
621,0.6,0.375,0.425,0.892799917000957,0.969431875000737,1.06327950000195,0.0884887906272008,0.0301044026229253,0.0269124372633106,-0.00923925167652681
622,0.472222222222222,0.475,0.575,0.843188978997205,0.928012333002698,0.867070791995502,0.130185930430347,0.084741644666493,0.0579122731428026,0.0931182414544256
623,0.548684210526316,0.44469696969697,0.425,0.805167582999275,0.813291500002379,0.859408083000744,0.0991277455817769,0.102986541636002,0.079779333518794,0.0859728498160851
624,0.775,0.625,0.499358974358974,0.928298499995435,0.938652416498371,0.888725541997701,0.130885356480008,0.114910057508186,0.0578580014220345,0.159675350410426
625,0.4,0.25,0.3,1.04143699999986,1.03441247899536,0.913620875497145,0.049889997510869,-0.0184143864720874,0.00619607392005331,0.00180039763304677
626,0.625,0.625,0.7,0.783475250005722,0.88475300000573,0.820469874997798,0.104760479848101,0.0516570022435989,0.0725278002695074,0.101324584782405
627,0.45,0.425,0.4,0.854583104504854,0.924388083993108,0.937726625495998,0.0532448560414451,0.0781438018227711,0.0719585401219929,0.0572498387125368
628,0.575,0.45,0.504166666666667,0.855399708001642,0.849683917003858,0.909479084002669,0.16541698848637,0.104494908313535,0.0968711348778992,0.095816626742491
629,0.325,0.103723404255319,0.195588235294118,0.961793041999044,1.14401350000117,1.08311466600026,0.143884859354425,0.0460681023629997,0.124984304100448,0.0515131379938996
630,0.8,0.45,0.4,0.875981665998552,0.992470729000161,0.936896562498987,0.190051184348454,0.115566802693382,0.142773722577187,0.0791118261206876
631,0.625,0.625,0.75,0.804717291499401,0.820368582999436,0.828780854000797,0.131712904544683,0.0777921682132332,0.102238712107825,0.05834761011651
